ESSID,BSSID,LATITUDE DIRECTION,LATITUDE,LONGITUDE DIRECTION,LONGITUDE,ALTITUDE,ALTITUDE UNIT,GPS FIX QUALITY
Unknown                 ,ee:97:ba:74:fd:78,N,47.6547,W,-117.191,632.5 ,M,1  
jnco_Gs                 ,88:5a:85:f3:81:79,N,47.6547,W,-117.191,632.3 ,M,1  
THE OFFICE              ,64:ff:0a:5e:53:af,N,47.6547,W,-117.1911,632.0 ,M,1  
Julz1240                ,04:4e:5a:1f:e4:1a,N,47.6547,W,-117.1911,631.8 ,M,1  
BoundlessInformant      ,bc:a5:11:70:44:c7,N,47.6547,W,-117.1911,631.4 ,M,1  
H0ME                    ,d8:97:ba:74:fd:78,N,47.6547,W,-117.191,631.9 ,M,1  
